Rk,Player,League,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
510,Franco Russo,La Liga,ar ARG,DF,Mallorca,26,1994,19,17,1464,16.3,1,0,1,1,0,0,7,2,0.2,0.2,0.2,0.4,4,41,3,0.06,0,0.06,0.06,0.06,0.01,0.01,0.02,0.01,0.02,19,10,10,9,0,13,31,41.9,18,14,9,5,27,46,73,1
511,Mathew Ryan,La Liga,au AUS,GK,Real Sociedad,29,1992,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
512,Youssouf Sabaly,La Liga,sn SEN,DF,Betis,28,1993,10,9,788,8.8,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,24,30,35,0,0.11,0.11,0,0.11,0.01,0.06,0.07,0.01,0.07,12,10,11,0,1,7,13,53.8,6,11,4,7,13,25,16,1
513,Salvi,La Liga,es ESP,MFFW,Cádiz,30,1991,23,17,1395,15.5,2,1,3,2,0,1,3,1,2.6,1.8,1.2,3,36,25,88,0.13,0.06,0.19,0.13,0.19,0.17,0.08,0.24,0.12,0.19,20,10,9,8,3,8,20,40,12,17,2,15,6,26,11,0
514,Fede San Emeterio,La Liga,es ESP,MF,Cádiz,24,1997,12,10,830,9.2,0,0,0,0,0,0,3,0,0,0,0.3,0.3,1,22,1,0,0,0,0,0,0,0.03,0.03,0,0.03,16,5,5,8,3,5,15,33.3,10,5,0,5,8,24,6,0
515,Oihan Sancet,La Liga,es ESP,FW,Athletic Club,21,2000,27,16,1422,15.8,6,4,10,6,0,0,2,0,3.4,3.4,2.9,6.3,28,76,152,0.38,0.25,0.63,0.38,0.63,0.21,0.19,0.4,0.21,0.4,12,7,2,8,2,5,20,25,15,2,0,2,5,17,13,0
516,Antonio Sánchez,La Liga,es ESP,MFFW,Mallorca,24,1997,29,19,1616,18,1,0,1,1,0,0,3,1,1.4,1.4,0.4,1.8,24,66,50,0.06,0,0.06,0.06,0.06,0.08,0.02,0.1,0.08,0.1,53,24,29,17,7,19,49,38.8,30,32,2,30,32,85,32,1
517,Germán Sánchez,La Liga,es ESP,DF,Granada,34,1986,32,25,2299,25.5,2,1,3,2,0,0,11,1,1.4,1.4,0.2,1.6,10,41,5,0.08,0.04,0.12,0.08,0.12,0.06,0.01,0.06,0.06,0.06,27,19,18,9,0,11,20,55,9,19,16,3,28,55,137,0
518,Juan Sánchez,La Liga,es ESP,,Sevilla,17,2003,1,0,5,0.1,0,0,0,0,0,0,1,0,,,,,,,,0,0,0,0,0,,,,,,,0,,,,,,,,,,,0,,,
519,Manuel Sánchez,La Liga,es ESP,DF,Osasuna,20,2000,33,25,2257,25.1,1,3,4,1,0,0,6,0,0.4,0.4,1.9,2.3,43,97,117,0.04,0.12,0.16,0.04,0.16,0.02,0.08,0.09,0.02,0.09,72,34,41,22,9,43,79,54.4,36,28,3,25,18,90,43,0
520,Oier Sanjurjo,La Liga,es ESP,MF,Osasuna,35,1986,25,8,758,8.4,1,0,1,1,0,0,3,0,0.7,0.7,0.2,0.9,3,34,25,0.12,0,0.12,0.12,0.12,0.08,0.02,0.11,0.08,0.11,10,6,3,7,0,2,19,10.5,17,8,3,5,1,11,9,0
521,Jesús Santiago,La Liga,es ESP,MF,Valencia,17,2004,3,0,82,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,2,0,2,1,0,1,0,2,1,0
522,Sergio Santos,La Liga,es ESP,DF,Real Madrid,20,2001,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,1,0,0,0,0,0,0,0.56,0.56,0,0.56,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
523,Alvaro Sanz,La Liga,es ESP,MF,Barcelona,20,2001,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.05,0.05,0,0.05,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
524,Marcelo Saracchi,La Liga,uy URU,DF,Levante,23,1998,4,2,186,2.1,0,1,1,0,0,0,2,0,0,0,0.2,0.2,4,8,14,0,0.48,0.48,0,0.48,0,0.11,0.11,0,0.11,8,5,6,1,1,2,4,50,2,3,0,3,4,12,7,1
525,Joan Sastre Vanrell,La Liga,es ESP,DF,Mallorca,24,1997,7,2,258,2.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,4,3,5,0,0,0,0,0,0.02,0,0.02,0.02,0.02,6,3,5,0,1,3,4,75,1,3,0,3,2,8,10,0
526,Esteban Saveljich,La Liga,me MNE,DF,Rayo Vallecano,30,1991,21,21,1700,18.9,0,0,0,0,0,0,4,0,0.6,0.6,0,0.6,2,20,1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,18,11,11,7,0,9,15,60,6,20,12,8,16,34,69,0
527,Stefan Savić,La Liga,me MNE,DF,Atlético Madrid,30,1991,28,28,2440,27.1,0,0,0,0,0,0,12,0,1.9,1.9,0.1,2,30,74,6,0,0,0,0,0,0.07,0,0.08,0.07,0.08,46,20,25,20,1,29,43,67.4,14,19,12,7,37,83,102,1
528,Valentino Scotta,La Liga,es ESP,DF,Sevilla,19,2001,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
529,Aleksandar Sedlar,La Liga,rs SRB,DFMF,Mallorca,29,1991,10,3,404,4.5,0,0,0,0,0,0,5,1,0,0,0.1,0.1,2,12,0,0,0,0,0,0,0,0.01,0.01,0,0.01,5,3,4,1,0,3,5,60,2,4,4,0,5,10,19,0
530,Javier Serrano,La Liga,es ESP,MF,Atlético Madrid,18,2003,5,1,68,0.8,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,1,0,3,0,2,4,50,2,0,0,0,3,6,2,0
531,Nicolás Serrano,La Liga,es ESP,MFFW,Athletic Club,18,2003,14,3,317,3.5,1,0,1,1,0,0,0,0,0.4,0.4,0.1,0.5,13,7,26,0.28,0,0.28,0.28,0.28,0.12,0.02,0.14,0.12,0.14,9,6,3,5,1,3,10,30,7,5,1,4,2,11,3,0
532,Salva Sevilla,La Liga,es ESP,MF,Mallorca,37,1984,28,17,1507,16.7,5,3,8,1,4,4,2,0,4.8,1.7,2.8,4.5,30,132,14,0.3,0.18,0.48,0.06,0.24,0.29,0.17,0.46,0.1,0.27,18,12,8,8,2,6,17,35.3,11,12,6,6,14,32,11,0
533,David Silva,La Liga,es ESP,MF,Real Sociedad,35,1986,25,22,1720,19.1,2,4,6,2,0,0,4,1,3.1,3.1,4.5,7.5,65,147,105,0.1,0.21,0.31,0.1,0.31,0.16,0.24,0.39,0.16,0.39,28,17,10,11,7,3,20,15,17,13,3,10,7,35,12,0
534,Jonathan Silva,La Liga,ar ARG,DFFW,Getafe,27,1994,9,1,226,2.5,0,0,0,0,0,0,4,0,0,0,0.1,0.2,5,11,9,0,0,0,0,0,0.01,0.05,0.06,0.01,0.06,10,8,4,4,2,7,12,58.3,5,4,0,4,3,13,7,0
535,Rui Silva,La Liga,pt POR,GK,Betis,27,1994,22,21,1964,21.8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,50,1,0,0,0,1,2,11,1
536,Giuliano Simeone,La Liga,ar ARG,MF,Atlético Madrid,18,2002,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
537,Unai Simón,La Liga,es ESP,GK,Athletic Club,24,1997,34,34,3060,34,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,1
538,Antonio Sivera,La Liga,es ESP,GK,Alavés,24,1996,4,3,277,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
539,Rubén Sobrino,La Liga,es ESP,MF,Valencia,29,1992,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,100,0,1,0,1,2,3,0,0
540,Rubén Sobrino,La Liga,es ESP,FWMF,Cádiz,29,1992,33,19,1861,20.7,4,1,5,4,0,0,4,0,5.4,5.3,1.8,7.1,36,38,87,0.19,0.05,0.24,0.19,0.24,0.26,0.09,0.35,0.26,0.35,28,17,11,10,7,5,35,14.3,30,21,1,20,21,49,18,0
541,Alex Sola,La Liga,es ESP,DFFW,Real Sociedad,22,1999,2,0,41,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,2,1,0,0,0,0,0,0.18,0.28,0.46,0.18,0.46,1,1,1,0,0,1,3,33.3,2,1,0,1,2,3,3,0
542,Augusto Solari,La Liga,ar ARG,MFDF,Celta Vigo,29,1992,26,4,714,7.9,0,0,0,0,0,0,5,0,0.3,0.3,0.5,0.8,15,18,53,0,0,0,0,0,0.04,0.06,0.1,0.04,0.1,24,12,9,12,3,12,32,37.5,20,14,4,10,7,31,10,1
543,Roberto Soldado,La Liga,es ESP,FW,Levante,36,1985,18,7,664,7.4,3,2,5,3,0,0,7,2,3.7,3.7,0.7,4.4,4,14,43,0.41,0.27,0.68,0.41,0.68,0.49,0.09,0.58,0.49,0.58,3,1,0,1,2,1,3,33.3,2,4,0,4,1,4,7,0
544,Carlos Soler,La Liga,es ESP,MF,Valencia,24,1997,32,28,2474,27.5,11,5,16,4,7,7,4,0,9.1,3.5,4,7.6,40,101,89,0.4,0.18,0.58,0.15,0.33,0.33,0.15,0.48,0.13,0.28,29,19,10,15,4,11,37,29.7,26,19,4,15,14,43,28,0
