Rk,Player,League,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
370,Louis Mafouta,Ligue 1,cf CTA,FW,Metz,27,1994,15,5,525,5.8,2,0,2,2,0,0,0,0,1.4,1.4,0.2,1.7,3,4,31,0.34,0,0.34,0.34,0.34,0.24,0.04,0.29,0.24,0.29,0,0,0,0,0,0,5,0,5,1,0,1,0,0,4,0
371,Hugo Magnetti,Ligue 1,fr FRA,MF,Brest,23,1998,28,16,1463,16.3,0,1,1,0,0,0,4,0,0.5,0.5,0.8,1.4,16,68,15,0,0.06,0.06,0,0.06,0.03,0.05,0.09,0.03,0.09,50,34,27,20,3,22,50,44,28,14,3,11,25,75,13,0
372,Yohann Magnin,Ligue 1,fr FRA,MFDF,Clermont Foot,24,1997,24,19,1717,19.1,1,0,1,1,0,0,2,0,1.1,1.1,0.6,1.7,8,79,35,0.05,0,0.05,0.05,0.05,0.06,0.03,0.09,0.06,0.09,53,31,22,26,5,24,42,57.1,18,17,7,10,20,73,36,0
373,Habib Maïga,Ligue 1,ci CIV,MF,Metz,25,1996,17,16,1267,14.1,2,0,2,2,0,0,6,0,0.9,0.9,0.4,1.4,14,53,28,0.14,0,0.14,0.14,0.14,0.07,0.03,0.1,0.07,0.1,47,28,29,13,5,24,48,50,24,20,7,13,14,61,18,0
374,Josh Maja,Ligue 1,ng NGA,FW,Bordeaux,22,1998,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,1,1,0,0,0,0,0,0,1.13,1.13,0,1.13,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
375,Abdul Majeed Waris,Ligue 1,gh GHA,FWMF,Strasbourg,29,1991,15,2,327,3.6,2,0,2,2,0,0,1,0,1.2,1.2,0.5,1.7,17,11,47,0.55,0,0.55,0.55,0.55,0.33,0.14,0.47,0.33,0.47,5,3,2,3,0,5,10,50,5,2,0,2,0,5,1,0
376,Lovro Majer,Ligue 1,hr CRO,MFFW,Rennes,23,1998,29,21,1832,20.4,6,8,14,6,0,0,1,0,5.3,5.3,5.2,10.6,77,147,126,0.29,0.39,0.69,0.29,0.69,0.26,0.26,0.52,0.26,0.52,32,21,9,14,9,11,42,26.2,31,26,2,24,11,43,9,0
377,Béni Makouana,Ligue 1,cg CGO,FWMF,Montpellier,18,2002,23,1,322,3.6,0,0,0,0,0,0,4,0,0.5,0.5,0.5,1,10,2,24,0,0,0,0,0,0.14,0.15,0.29,0.14,0.29,2,2,0,0,2,0,1,0,1,1,0,1,3,5,2,0
378,Hianga Mananga Mbock,Ligue 1,fr FRA,MF,Brest,21,1999,14,9,799,8.9,0,0,0,0,0,0,3,0,0.4,0.4,0,0.5,10,35,14,0,0,0,0,0,0.05,0,0.05,0.05,0.05,18,12,8,7,3,9,21,42.9,12,5,2,3,5,23,6,0
379,Vincent Manceau,Ligue 1,fr FRA,DF,Angers,32,1989,28,25,2361,26.2,0,0,0,0,0,0,2,1,0.1,0.1,0.3,0.4,19,113,16,0,0,0,0,0,0,0.01,0.01,0,0.01,32,19,18,13,1,14,37,37.8,23,23,6,17,32,64,72,0
