Rk,Player,League,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xAG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
181,Éderson,Seria A,br BRA,MF,Salernitana,22,1999,15,13,1147,12.7,2,1,3,2,0,0,5,0,2,2,1,3.1,25,34,39,0.16,0.08,0.24,0.16,0.24,0.16,0.08,0.24,0.16,0.24,29,18,11,14,4,14,26,53.8,12,11,2,9,19,48,8,0
182,Albin Ekdal,Seria A,se SWE,MF,Sampdoria,32,1989,26,19,1637,18.2,1,0,1,1,0,0,11,1,0.9,0.9,0.3,1.2,10,62,20,0.05,0,0.05,0.05,0.05,0.05,0.01,0.06,0.05,0.06,43,28,17,21,5,26,56,46.4,30,27,7,20,29,72,25,0
183,Caleb Ekuban,Seria A,gh GHA,FWMF,Genoa,27,1994,30,18,1716,19.1,1,2,3,1,0,0,2,0,3.5,3.5,2.4,5.9,31,31,133,0.05,0.1,0.16,0.05,0.16,0.18,0.13,0.31,0.18,0.31,19,12,2,12,5,7,23,30.4,16,19,5,14,9,28,6,0
184,Elif Elmas,Seria A,mk MKD,FWMF,Napoli,21,1999,37,12,1620,18,3,4,7,3,0,0,3,0,2.3,2.3,1.8,4.1,59,53,96,0.17,0.22,0.39,0.17,0.39,0.13,0.1,0.23,0.13,0.23,25,15,10,10,5,12,28,42.9,16,13,2,11,8,33,17,0
185,Martin Erlic,Seria A,hr CRO,DF,Spezia,23,1998,30,30,2576,28.6,2,0,2,2,0,0,5,0,3,3,0.4,3.4,6,32,3,0.07,0,0.07,0.07,0.07,0.1,0.01,0.12,0.1,0.12,28,16,18,10,0,10,18,55.6,8,54,39,15,28,56,122,1
186,Gonzalo Escalante,Seria A,ar ARG,MF,Lazio,28,1993,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,100,0,2,1,1,1,2,0,0
187,Diego Falcinelli,Seria A,it ITA,FW,Bologna,30,1991,6,0,66,0.7,0,0,0,0,0,0,0,0,0.6,0.6,0,0.6,1,2,9,0,0,0,0,0,0.78,0,0.78,0.78,0.78,2,2,2,0,0,0,0,,0,0,0,0,1,3,1,0
188,Wladimiro Falcone,Seria A,it ITA,GK,Sampdoria,26,1995,10,9,855,9.5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0
189,Paolo Faragò,Seria A,it ITA,MF,Cagliari,28,1993,1,0,16,0.2,0,0,0,0,0,0,0,0,0.4,0.4,0,0.4,1,1,2,0,0,0,0,0,2.44,0,2.44,2.44,2.44,1,1,1,0,0,0,0,,0,2,0,2,0,1,0,0
190,Davide Faraoni,Seria A,it ITA,DF,Hellas Verona,29,1991,32,30,2572,28.6,4,5,9,4,0,0,8,1,3,3,2.9,5.9,31,123,125,0.14,0.17,0.31,0.14,0.31,0.11,0.1,0.21,0.11,0.21,62,40,38,21,3,29,62,46.8,33,38,5,33,23,85,62,1
