Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
69,Davide Biraschi,it ITA,DF,Genoa,27,1994,10.3,31,16,19,9,3,17,24,70.8,7,16,9,7,16,47,26,0
70,Bjarki Bjarkason,is ISL,MF,Venezia,21,2000,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
71,Jeremie Boga,ci CIV,FWMF,Atalanta,24,1997,8.5,7,3,0,4,3,4,6,66.7,2,6,0,6,1,8,3,1
72,Jeremie Boga,ci CIV,FWMF,Sassuolo,24,1997,7.4,7,4,1,2,4,2,3,66.7,1,3,0,3,2,9,1,1
73,Luka Bogdan,hr CRO,DF,Salernitana,25,1996,4.4,6,3,6,0,0,4,8,50,4,3,2,1,6,12,21,0
74,Emil Bohinen,no NOR,MF,Salernitana,22,1999,7.8,15,9,4,9,2,10,20,50,10,17,3,14,12,27,14,0
75,Giacomo Bonaventura,it ITA,MF,Fiorentina,31,1989,25.2,33,17,12,16,5,21,46,45.7,25,20,2,18,14,47,9,1
76,Federico Bonazzoli,it ITA,FWMF,Salernitana,24,1997,20.7,24,12,9,8,7,6,25,24,19,17,1,16,6,30,7,0
77,Kevin Bonifazi,it ITA,DF,Bologna,25,1996,13.4,25,16,16,7,2,13,14,92.9,1,22,7,15,16,41,35,0
78,Leonardo Bonucci,it ITA,DF,Juventus,34,1987,22.3,14,5,4,10,0,8,13,61.5,5,22,17,5,26,40,82,0
79,Mehdi Bourabia,ma MAR,MF,Spezia,29,1991,3.1,5,1,2,3,0,3,11,27.3,8,7,6,1,3,8,10,0
80,Edoardo Bove,it ITA,MFDF,Roma,19,2002,0.8,1,1,1,0,0,0,2,0,2,1,0,1,1,2,0,0
81,Josip Brekalo,hr CRO,MF,Torino,23,1998,25.4,9,5,5,1,3,3,21,14.3,18,16,1,15,4,13,7,1
82,Gleison Bremer,br BRA,DF,Torino,24,1997,32.1,49,24,27,22,0,18,28,64.3,10,54,23,31,105,154,137,0
83,Marcelo Brozović,hr CRO,MF,Inter,28,1992,32.6,77,45,34,35,8,34,68,50,34,28,10,18,37,114,36,2
84,Aleksander Buksa,pl POL,FW,Genoa,18,2003,0.7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
85,Alessandro Buongiorno,it ITA,DF,Torino,22,1999,13.1,20,9,9,8,3,9,13,69.2,4,12,6,6,31,51,44,0
86,Gianluca Busio,us USA,MF,Venezia,19,2002,21.7,53,28,27,20,6,28,63,44.4,35,45,13,32,21,74,30,1
87,Jovane Cabral,cv CPV,FW,Lazio,23,1998,2.1,2,1,1,0,1,0,0,,0,1,1,0,1,3,1,0
88,Liberato Cacace,nz NZL,DF,Empoli,20,2000,5.2,15,6,8,4,3,8,8,100,0,7,2,5,8,23,9,0
89,Martín Cáceres,uy URU,DF,Cagliari,34,1987,9.2,13,7,5,5,3,4,12,33.3,8,12,3,9,14,27,21,0
90,Felipe Caicedo,ec ECU,FW,Genoa,32,1988,3.2,3,3,0,2,1,0,1,0,1,1,0,1,0,3,4,0
91,Felipe Caicedo,ec ECU,FWDF,Inter,32,1988,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
92,Davide Calabria,it ITA,DF,Milan,24,1996,23.5,62,37,31,23,8,37,72,51.4,35,25,5,20,23,85,40,1
93,Riccardo Calafiori,it ITA,DF,Genoa,19,2002,0.9,1,0,0,0,1,1,2,50,1,2,1,1,2,3,4,0
94,Riccardo Calafiori,it ITA,DF,Roma,19,2002,1.9,5,4,2,2,1,1,5,20,4,3,0,3,3,8,1,0
95,Mattia Caldara,it ITA,DF,Venezia,27,1994,30,48,28,30,15,3,20,34,58.8,14,49,37,12,62,110,147,1
96,Hakan Çalhanoğlu,tr TUR,MF,Inter,27,1994,27.6,41,23,16,19,6,11,40,27.5,29,29,5,24,25,66,12,0
97,José Callejón,es ESP,FW,Fiorentina,34,1987,14.4,15,6,6,6,3,13,31,41.9,18,6,0,6,3,18,1,1
98,Andrea Cambiaso,it ITA,DF,Genoa,21,2000,19.9,46,20,28,14,4,18,32,56.3,14,33,8,25,23,69,37,1
