Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
57,Salim Ben Seghir,fr FRA,MF,Marseille,18,2003,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
58,Wissam Ben Yedder,fr FRA,FW,Monaco,30,1990,28.1,18,8,1,11,6,6,15,40,9,12,1,11,0,18,1,0
59,Darío Benedetto,ar ARG,FWMF,Marseille,31,1990,0.6,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0
60,Walter Benítez,ar ARG,GK,Nice,28,1993,37,0,0,0,0,0,0,2,0,2,1,0,1,0,0,12,2
61,Loris Benito,ch SUI,DF,Bordeaux,29,1992,0.7,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,1
62,Nabil Bentaleb,dz ALG,MF,Angers,26,1994,16.8,42,24,15,20,7,16,29,55.2,13,24,9,15,28,70,13,0
63,Patrick Berg,no NOR,MF,Lens,23,1997,3.4,14,6,6,8,0,0,4,0,4,2,1,1,4,18,3,0
64,Mitchell van Bergen,nl NED,FWMF,Reims,21,1999,10.9,8,5,7,0,1,6,15,40,9,9,0,9,4,12,7,0
65,Valon Berisha,xk KVX,MFFW,Reims,28,1993,5.1,10,7,2,5,3,2,10,20,8,9,0,9,4,14,3,0
66,Paul Bernardoni,fr FRA,GK,Angers,24,1997,13,3,2,3,0,0,3,4,75,1,0,0,0,0,3,8,1
67,Paul Bernardoni,fr FRA,GK,Saint-Étienne,24,1997,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,2
68,Juan Bernat,es ESP,DFMF,Paris S-G,28,1993,10.6,24,14,10,10,4,13,18,72.2,5,8,0,8,8,32,16,0
69,Dimitry Bertaud,fr FRA,GK,Montpellier,23,1998,9.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1
70,Jason Berthomier,fr FRA,MF,Clermont Foot,31,1990,19.2,29,14,5,17,7,12,34,35.3,22,14,2,12,8,37,4,1
71,Giulian Biancone,fr FRA,DFMF,Troyes,21,2000,25.5,70,42,44,22,4,40,69,58,29,23,8,15,53,123,71,1
72,El Bilal Touré,ml MLI,FW,Reims,19,2001,13.3,13,6,4,6,3,2,7,28.6,5,10,3,7,6,19,19,0
73,Jean-Claude Billong,cm CMR,DF,Clermont Foot,27,1993,10.9,17,8,14,1,2,8,11,72.7,3,9,1,8,10,27,35,0
74,Nathan Bitu Mazala,fr FRA,DF,Paris S-G,18,2002,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
75,Marco Bizot,nl NED,GK,Brest,30,1991,38,3,1,3,0,0,3,5,60,2,1,0,1,0,3,24,1
76,Ludovic Blas,fr FRA,MFFW,Nantes,23,1997,32.9,33,18,7,20,6,15,44,34.1,29,33,3,30,31,64,6,1
77,Myron Boadu,nl NED,FW,Monaco,20,2001,10.7,9,7,2,3,4,1,5,20,4,6,0,6,2,11,1,0
78,Jérôme Boateng,de GER,DF,Lyon,32,1988,18,20,15,11,9,0,9,17,52.9,8,20,10,10,20,40,73,0
79,Antonin Bobichon,fr FRA,MFFW,Angers,25,1995,0.4,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,0
80,Quentin Boisgard,fr FRA,MFFW,Lorient,24,1997,10.6,19,11,6,10,3,8,17,47.1,9,15,0,15,6,25,5,0
81,Charles Boli,fr FRA,MFDF,Lens,22,1998,0.4,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0
82,Sven Botman,nl NED,DF,Lille,21,2000,25,24,11,13,11,0,12,18,66.7,6,32,21,11,26,50,116,0
83,Denis Bouanga,ga GAB,FWMF,Saint-Étienne,26,1994,27.1,46,25,14,13,19,22,63,34.9,41,30,0,30,8,54,34,1
84,Hicham Boudaoui,dz ALG,MF,Nice,21,1999,18,31,18,15,10,6,13,36,36.1,23,17,4,13,18,49,15,0
85,Ryad Boudebouz,dz ALG,MFFW,Saint-Étienne,31,1990,25,27,15,11,12,4,12,29,41.4,17,17,2,15,10,37,5,0
86,Sofiane Boufal,ma MAR,FWMF,Angers,27,1993,25.9,44,29,19,16,9,18,38,47.4,20,19,2,17,7,51,1,0
87,Farid Boulaya,dz ALG,MFFW,Metz,28,1993,17,18,10,7,9,2,14,38,36.8,24,8,2,6,12,30,5,0
88,Ismaëlben Boura,fr FRA,DF,Lens,20,2000,1.1,2,2,1,1,0,0,0,,0,1,1,0,2,4,5,0
89,Benjamin Bourigeaud,fr FRA,FWMF,Rennes,27,1994,35.5,46,24,16,18,12,24,67,35.8,43,33,3,30,30,76,44,0
90,Redwan Bourles,fr FRA,MFFW,Lorient,18,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
91,Domagoj Bradarić,hr CRO,DF,Lille,21,1999,4.6,11,9,8,2,1,7,12,58.3,5,5,2,3,10,21,7,1
92,Bilal Brahimi,dz ALG,MF,Nice,21,2000,4.2,1,1,0,1,0,0,2,0,2,1,0,1,2,3,1,0
93,Bilal Brahimi,dz ALG,FW,Angers,21,2000,3.8,1,1,0,1,0,0,3,0,3,0,0,0,1,2,1,0
94,Lilian Brassier,fr FRA,DF,Brest,21,1999,25.1,40,24,23,13,4,10,21,47.6,11,31,21,10,32,72,86,0
95,Jimmy Briand,fr FRA,FWMF,Bordeaux,35,1985,2.5,2,0,2,0,0,0,2,0,2,0,0,0,1,3,2,0
96,Dylan Bronn,tn TUN,DF,Metz,26,1995,28.3,47,29,33,13,1,20,31,64.5,11,32,19,13,40,87,78,1
97,Osman Bukari,gh GHA,FWMF,Nantes,22,1998,11.2,18,8,7,6,5,8,22,36.4,14,8,0,8,8,26,1,0
98,Maxime Busi,be BEL,DF,Reims,21,1999,14.4,26,15,20,5,1,19,36,52.8,17,19,5,14,17,43,28,0
99,Oriol Busquets,es ESP,MF,Clermont Foot,22,1999,2.2,3,3,0,3,0,2,6,33.3,4,7,4,3,1,4,2,0
100,Marcin Bułka,pl POL,GK,Nice,21,1999,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
101,Rémy Cabella,fr FRA,MFFW,Montpellier,31,1990,3.5,15,7,4,8,3,5,15,33.3,10,7,0,7,5,20,1,0
102,Jimmy Cabot,fr FRA,DF,Angers,27,1994,22.3,81,44,59,15,7,47,83,56.6,36,29,0,29,32,113,30,0
103,Anthony Caci,fr FRA,DF,Strasbourg,24,1997,26.6,65,34,35,24,6,33,55,60,22,22,3,19,33,98,49,1
104,Mathieu Cafaro,fr FRA,MFFW,Reims,24,1997,2.1,4,2,3,1,0,0,7,0,7,2,0,2,3,7,1,0
105,Yannick Cahuzac,fr FRA,MF,Lens,36,1985,6.9,5,2,2,3,0,0,5,0,5,8,2,6,9,14,12,0
106,Marc-Aurèle Caillard,fr FRA,GK,Metz,27,1994,17.1,0,0,0,0,0,0,2,0,2,0,0,0,2,2,9,1
107,Jens Cajuste,se SWE,MFFW,Reims,21,1999,4,10,6,6,2,2,6,17,35.3,11,7,2,5,5,15,6,0
108,Duje Ćaleta-Car,hr CRO,DF,Marseille,24,1996,22.9,21,8,15,6,0,11,14,78.6,3,11,7,4,24,45,55,2
109,Lucas Calodat,fr FRA,DF,Saint-Étienne,19,2002,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
110,Mahdi Camara,fr FRA,MFDF,Saint-Étienne,23,1998,34.1,101,57,39,50,12,39,70,55.7,31,44,8,36,57,158,35,1
111,Mamadou Camara,fr FRA,FW,Troyes,20,2001,0.4,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0
112,Eduardo Camavinga,fr FRA,MF,Rennes,18,2002,1.6,4,1,2,1,1,2,5,40,3,1,1,0,1,5,3,0
113,Fali Candé,gw GNB,DF,Metz,23,1998,10.8,30,18,13,15,2,13,31,41.9,18,11,2,9,6,36,21,0
114,Pierrick Capelle,fr FRA,MFDF,Angers,34,1987,13.3,36,24,16,17,3,18,52,34.6,34,12,1,11,16,52,20,0
115,Maxence Caqueret,fr FRA,MF,Lyon,21,2000,25.9,73,40,29,36,8,30,80,37.5,50,38,10,28,43,116,26,2
116,Irvin Cardona,fr FRA,FWMF,Brest,23,1997,14.8,13,7,5,4,4,3,16,18.8,13,10,0,10,5,18,17,0
117,Igor Carioca,br BRA,DF,Lorient,24,1996,17.5,27,16,16,8,3,15,43,34.9,28,17,2,15,25,52,28,0
118,Moreto Cassamã,gw GNB,MF,Reims,23,1998,8.9,12,6,7,4,1,3,19,15.8,16,10,5,5,9,21,5,0
119,Jean-Charles Castelletto,cm CMR,DF,Nantes,26,1995,27.9,45,24,27,17,1,25,35,71.4,10,38,27,11,30,75,73,0
120,Zeki Çelik,tr TUR,DF,Lille,24,1997,30,64,37,43,17,4,36,63,57.1,27,32,9,23,43,107,62,2
121,Fabien Centonze,fr FRA,DF,Metz,25,1996,17.6,33,21,22,9,2,13,32,40.6,19,37,8,29,32,65,51,0
122,Leonardo César Jardim,br BRA,GK,Lille,26,1995,17,,0,,,,,,,,,,,1,,,
123,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,16,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
124,Nassim Chadli,fr FRA,MFDF,Troyes,20,2001,1.1,5,3,3,0,2,2,4,50,2,1,0,1,0,5,0,0
125,Mehdi Chahiri,ma MAR,DF,Strasbourg,25,1996,0.2,1,1,1,0,0,1,1,100,0,0,0,0,0,1,0,0
126,Dylan Chambost,fr FRA,MFFW,Troyes,23,1997,8.4,16,11,6,9,1,4,25,16,21,9,2,7,8,24,4,0
127,Brendan Chardonnet,fr FRA,DF,Brest,26,1994,29.8,44,25,32,11,1,29,40,72.5,11,42,29,13,55,99,141,0
128,Xavier Chavalerin,fr FRA,MF,Troyes,30,1991,30.2,49,26,19,25,5,12,55,21.8,43,32,5,27,39,88,36,0
129,Xavier Chavalerin,fr FRA,MF,Reims,30,1991,2.4,4,4,2,1,1,1,3,33.3,2,2,0,2,5,9,2,1
130,Rayan Cherki,fr FRA,FWMF,Lyon,17,2003,4.9,6,2,1,3,2,4,9,44.4,5,2,0,2,1,7,0,0
131,Pedro Chirivella,es ESP,MF,Nantes,24,1997,29.3,49,31,14,26,9,25,70,35.7,45,23,2,21,37,86,11,0
132,Joris Chotard,fr FRA,MF,Montpellier,19,2001,32.6,59,30,33,23,3,36,78,46.2,42,27,15,12,42,101,56,0
133,Alexis Claude-Maurice,fr FRA,MF,Nice,23,1998,2.3,2,0,1,0,1,1,4,25,3,7,0,7,3,5,1,0
134,Jonathan Clauss,fr FRA,DF,Lens,28,1992,33.8,63,34,33,20,10,22,55,40,33,43,1,42,73,136,51,0
135,Marcus Coco,fr FRA,MFFW,Nantes,25,1996,10.3,34,14,17,11,6,8,18,44.4,10,11,1,10,10,44,15,0
136,Abdu Conté,pt POR,DF,Troyes,23,1998,15,22,12,16,5,1,12,24,50,12,12,2,10,4,26,10,0
137,Sébastien Corchia,fr FRA,DF,Nantes,30,1990,14.7,33,20,17,11,5,24,42,57.1,18,24,3,21,13,46,36,0
138,Maxwel Cornet,ci CIV,DF,Lyon,24,1996,0.7,3,1,1,0,2,3,4,75,1,0,0,0,1,4,1,0
139,David Pereira da Costa,pt POR,MFFW,Lens,20,2001,16.3,22,12,9,6,7,11,26,42.3,15,12,0,12,13,35,5,0
140,Benoît Costil,fr FRA,GK,Bordeaux,34,1987,25,1,0,1,0,0,1,2,50,1,0,0,0,0,1,6,3
141,Kalifa Coulibaly,ml MLI,FW,Nantes,29,1991,9.4,5,1,1,1,3,0,4,0,4,2,2,0,0,5,11,0
142,Nicolas Cozza,fr FRA,DF,Montpellier,22,1999,30.8,80,47,50,23,7,35,65,53.8,30,35,19,16,38,118,82,1
143,Enzo Crivelli,fr FRA,FWMF,Saint-Étienne,26,1995,1.1,1,0,0,0,1,0,0,,0,0,0,0,0,1,1,0
144,Wylan Cyprien,fr FRA,MF,Nantes,26,1995,16.6,33,17,12,18,3,13,32,40.6,19,16,6,10,10,43,14,2
145,Lucas Da Cunha,fr FRA,MF,Nice,20,2001,4.4,13,7,2,7,4,6,11,54.5,5,2,0,2,1,14,2,0
146,Lucas Da Cunha,fr FRA,FWMF,Clermont Foot,20,2001,9.3,17,11,5,8,4,9,18,50,9,13,0,13,1,18,3,0
147,Damien Da Silva,fr FRA,DF,Lyon,33,1988,12.5,13,9,7,5,1,5,9,55.6,4,15,10,5,22,35,53,1
148,Colin Dagba,fr FRA,DF,Paris S-G,22,1998,1.8,4,2,2,2,0,3,6,50,3,4,2,2,2,6,1,0
149,Flavius Daniliuc,at AUT,DF,Nice,20,2001,14.4,46,31,26,17,3,34,43,79.1,9,13,7,6,14,60,34,1
150,Kevin Danso,at AUT,DF,Lens,22,1998,31,41,29,29,12,0,23,34,67.6,11,38,25,13,40,81,111,0
151,Dante,br BRA,DF,Nice,37,1983,31.9,42,29,30,12,0,23,33,69.7,10,43,27,16,49,91,96,1
152,Jonathan David,ca CAN,FW,Lille,21,2000,31.2,24,9,7,11,6,9,30,30,21,14,4,10,5,29,15,0
153,Konrad De La Fuente,us USA,FWMF,Marseille,20,2001,8.7,11,7,8,2,1,7,11,63.6,4,5,0,5,2,13,4,0
154,Romain Del Castillo,fr FRA,MFFW,Rennes,25,1996,0.3,2,1,0,1,1,2,2,100,0,0,0,0,1,3,0,0
155,Romain Del Castillo,fr FRA,MFFW,Brest,25,1996,10.8,27,16,3,17,7,12,31,38.7,19,12,0,12,7,34,3,0
156,Thomas Delaine,fr FRA,DF,Metz,29,1992,25.7,48,35,34,12,2,22,42,52.4,20,20,7,13,27,75,31,0
157,Sacha Delaye,fr FRA,MFFW,Montpellier,19,2002,2.9,8,6,3,2,3,2,8,25,6,1,0,1,1,9,1,1
158,Andy Delort,dz ALG,FW,Nice,29,1991,27.2,15,9,3,5,7,7,12,58.3,5,13,4,9,9,24,14,0
159,Andy Delort,dz ALG,FW,Montpellier,29,1991,3,2,0,0,1,1,0,1,0,1,1,0,1,0,2,4,0
160,Moussa Dembélé,fr FRA,FW,Lyon,25,1996,24.5,18,9,5,5,8,6,15,40,9,13,0,13,8,26,30,1
161,Jason Denayer,be BEL,DF,Lyon,26,1995,11.1,11,4,8,3,0,6,7,85.7,1,8,7,1,16,27,52,0
162,Arthur Desmas,fr FRA,GK,Clermont Foot,27,1994,14.5,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,3
163,Ángel Di María,ar ARG,FW,Paris S-G,33,1988,18.3,29,18,6,13,10,14,37,37.8,23,17,0,17,6,35,3,0
164,Yadaly Diaby,fr FRA,FWMF,Clermont Foot,20,2000,0.7,0,0,0,0,0,0,1,0,1,0,0,0,2,2,2,0
165,Ibrahim Diakité,gn GUI,MF,Reims,17,2003,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
166,Abdou Diallo,sn SEN,DF,Paris S-G,25,1996,9.7,22,14,10,9,3,8,14,57.1,6,6,2,4,10,32,19,1
167,Habib Diallo,sn SEN,FW,Strasbourg,26,1995,17.1,9,5,0,8,1,0,8,0,8,13,4,9,4,13,11,0
168,Mouhamadou Diarra,sn SEN,MF,Strasbourg,17,2004,1.2,2,1,1,1,0,1,1,100,0,0,0,0,0,2,0,0
169,Stéphane Diarra,fr FRA,MFFW,Lorient,22,1998,5.8,11,9,7,3,1,5,10,50,5,4,0,4,7,18,1,0
170,Krépin Diatta,sn SEN,MFDF,Monaco,22,1999,3.2,3,2,1,0,2,1,3,33.3,2,2,0,2,1,4,0,0
171,Bamba Dieng,sn SEN,FW,Marseille,21,2000,10.8,17,11,5,5,7,4,14,28.6,10,7,0,7,5,22,8,0
172,Elhadji Dieye,sn SEN,FWMF,Saint-Étienne,19,2002,0.4,3,2,2,1,0,0,1,0,1,2,0,2,1,4,0,0
173,Javairô Dilrosun,nl NED,MFFW,Bordeaux,23,1998,19.2,13,4,2,8,3,7,24,29.2,17,14,1,13,11,24,5,0
174,Junior Dina Ebimbe,fr FRA,MF,Paris S-G,20,2000,3.5,9,4,3,4,2,2,3,66.7,1,5,3,2,2,11,1,0
175,Tristan Dingomé,cm CMR,MFFW,Troyes,30,1991,12,23,11,10,12,1,10,18,55.6,8,7,1,6,9,32,3,0
176,Sinaly Diomande,ci CIV,DF,Lyon,20,2001,6.4,6,3,4,2,0,5,6,83.3,1,6,6,0,12,18,26,0
177,Sofiane Diop,fr FRA,MFFW,Monaco,21,2000,21.6,38,20,12,19,7,15,47,31.9,32,10,0,10,23,61,4,0
178,Andy Diouf,fr FRA,MF,Rennes,18,2003,0.2,1,1,1,0,0,1,1,100,0,1,0,1,0,1,0,0
179,Assane Dioussé,sn SEN,MF,Saint-Étienne,23,1997,0.3,1,1,1,0,0,1,1,100,0,0,0,0,0,1,0,0
180,Axel Disasi,fr FRA,DF,Monaco,23,1998,30.2,42,27,20,21,1,23,39,59,16,40,30,10,26,68,75,0
181,Tiago Djaló,pt POR,DF,Lille,21,2000,25.9,60,39,39,19,2,26,39,66.7,13,26,10,16,24,84,71,0
182,Alexander Djiku,gh GHA,DF,Strasbourg,26,1994,29.9,50,37,33,13,4,18,35,51.4,17,30,13,17,61,111,90,2
183,Bryan Djile Nokoué,cm CMR,DFMF,Saint-Étienne,19,2002,0.6,3,3,1,2,0,2,2,100,0,1,0,1,1,4,2,0
184,Ouparine Djoco,sn SEN,GK,Clermont Foot,23,1998,23.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,2
185,Jeremy Doku,be BEL,FWMF,Rennes,19,2002,5.2,10,5,3,5,2,3,6,50,3,4,0,4,3,13,0,0
186,Kasper Dolberg,dk DEN,FW,Nice,23,1997,16.6,9,4,4,3,2,3,9,33.3,6,15,1,14,6,15,17,0
187,Brandon Domingues,fr FRA,MFFW,Troyes,21,2000,2.6,6,2,2,4,0,2,3,66.7,1,3,0,3,3,9,0,0
188,Anastasios Donis,gr GRE,FWMF,Reims,24,1996,4.1,8,7,4,2,2,2,6,33.3,4,3,0,3,0,8,1,0
189,Gianluigi Donnarumma,it ITA,GK,Paris S-G,22,1999,17,0,0,0,0,0,0,0,,0,0,0,0,0,0,9,2
190,Jodel Dossou,bj BEN,FW,Clermont Foot,29,1992,22.3,36,17,15,14,7,15,43,34.9,28,14,0,14,5,41,7,0
191,Lohann Doucet,fr FRA,MFDF,Nantes,18,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
192,Cheick Doucouré,ml MLI,MF,Lens,21,2000,32.7,75,43,34,34,7,35,79,44.3,44,30,7,23,68,143,24,0
193,Fodé Doucouré,ml MLI,DFFW,Reims,20,2001,1.7,12,9,9,3,0,9,11,81.8,2,1,0,1,4,16,6,0
194,Ismaël Doukouré,fr FRA,DF,Strasbourg,18,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
195,Kamory Doumbia,ml MLI,MFFW,Reims,18,2003,3.9,8,2,2,5,1,5,13,38.5,8,9,3,6,3,11,3,0
196,Moussa Doumbia,ml MLI,FW,Reims,26,1994,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
197,Souleyman Doumbia,ci CIV,DFFW,Angers,24,1996,24.7,30,20,16,9,5,13,27,48.1,14,25,4,21,39,69,51,0
198,Julian Draxler,de GER,FWMF,Paris S-G,27,1993,6.1,3,2,0,3,0,0,4,0,4,3,0,3,5,8,3,0
199,Matthieu Dreyer,fr FRA,GK,Lorient,32,1989,16,1,1,1,0,0,1,1,100,0,0,0,0,0,1,9,0
200,Leo Dubois,fr FRA,DF,Lyon,26,1994,19.4,43,27,22,14,7,27,46,58.7,19,27,3,24,22,65,35,1
201,Jean-Kevin Duverne,fr FRA,DF,Brest,24,1997,33.4,71,44,43,21,7,42,90,46.7,48,40,5,35,53,124,92,0
202,Enzo Ebosse,cm CMR,DF,Angers,22,1999,21,25,14,19,6,0,11,19,57.9,8,19,9,10,15,40,42,0
